"parameter","block","rhat","ess_bulk","ess_tail","rep","scenario","n_calib"
"U[16,1]","latent",0.991671212549674,114.340202691351,93.4809348093481,1,"primary",6
"U[17,1]","latent",0.979680329184013,79.97368785242,83.222243382213,1,"primary",6
"U[18,1]","latent",1.05673094785168,78.3529091966429,60.3612003176905,1,"primary",6
"U[19,1]","latent",1.00072921365069,63.6274454405842,96.4201003916377,1,"primary",6
"U[20,1]","latent",1.00589283529688,76.7635795518344,99.5500882738197,1,"primary",6
"U[21,1]","latent",1.00918334838974,60.040765682984,81.0234541577826,1,"primary",6
"U[22,1]","latent",1.01210001495885,83.9501470128341,96.4201003916377,1,"primary",6
"U[23,1]","latent",1.04112215835624,54.6206070378189,57.4856546687532,1,"primary",6
"U[24,1]","latent",1.00437795528399,73.5990581306561,43.07632170429,1,"primary",6
"U[25,1]","latent",0.982432730920892,95.2732386805802,96.4201003916377,1,"primary",6
"U[26,1]","latent",1.01368302006829,64.5563291214588,60.3612003176905,1,"primary",6
"U[27,1]","latent",1.04857322375079,60.3937591593411,75.6348661633494,1,"primary",6
"U[28,1]","latent",1.03129509926904,45.2850089108008,87.9983890455094,1,"primary",6
"U[29,1]","latent",1.03705025339591,46.6343849785214,52.9285714285714,1,"primary",6
"U[30,1]","latent",1.00470446134339,62.2416663955454,90.7156572733406,1,"primary",6
"U[31,1]","latent",0.984852359494393,138.923149953954,59.1960445663585,1,"primary",6
"U[32,1]","latent",0.992569876153025,67.0862778765516,59.0732436472347,1,"primary",6
"U[33,1]","latent",1.00770509636456,57.6135939364556,76.956942854627,1,"primary",6
"U[34,1]","latent",0.998367457147558,58.102224804437,34.5353917856102,1,"primary",6
"U[35,1]","latent",1.02165756492905,81.4116354090159,59.0732436472347,1,"primary",6
"U[36,1]","latent",0.990122026710351,65.9497390541496,58.0750191036247,1,"primary",6
"U[37,1]","latent",1.03173106447384,61.6602799203669,63.2606199770379,1,"primary",6
"U[38,1]","latent",0.996354984350546,58.9007204552875,60.3612003176905,1,"primary",6
"U[39,1]","latent",1.01941010032347,51.1571686819915,78.9378612716764,1,"primary",6
"U[40,1]","latent",1.02932233760852,62.991178619819,59.7047270757145,1,"primary",6
"U[41,1]","latent",0.995975287213145,83.2509812041824,99.5500882738197,1,"primary",6
"U[42,1]","latent",1.00254979295543,56.1242541655707,59.0732436472347,1,"primary",6
"U[43,1]","latent",0.992836650983671,83.8121530139177,99.5500882738197,1,"primary",6
"U[44,1]","latent",1.00359446678206,49.4467347914458,60.3612003176905,1,"primary",6
"U[45,1]","latent",1.01212858826455,67.7557194772585,59.7047270757145,1,"primary",6
"U[46,1]","latent",1.00807624073383,72.7805948647219,68.8965301656769,1,"primary",6
"U[47,1]","latent",1.02332398150685,72.5856327813726,75.0730115100499,1,"primary",6
"U[48,1]","latent",1.00253523046453,72.0798709028062,73.6754136720708,1,"primary",6
"U[49,1]","latent",1.0477461154356,67.3753356499872,93.4809348093481,1,"primary",6
"U[50,1]","latent",1.03323094537617,79.3899020546388,80.1081081081081,1,"primary",6
"U[51,1]","latent",1.08889724321617,70.9611348643452,47.8450363196125,1,"primary",6
